lat,long,site
44.28,-78.09,68117
44.27,-114.73,33213
44.26,-76.77,68012
44.26,-77.36,68216
44.26,-104.17,92250
44.23,-112.25,33015
44.23,-113.37,33214
44.23,-96.94,81010
44.22,-92.27,50007
44.21,-101.3,81030
44.21,-89.05,91043
44.2,-105.71,92206
44.19,-116.5,33211
44.19,-91.78,91032
44.19,-90.38,91038
44.17,-71.7,58018
44.16,-81.58,68057
44.16,-72.68,87013
44.14,-70.56,44012
44.14,-75.7,61113
44.13,-74.92,61098
44.13,-73.76,61206
44.13,-118.58,69014
44.12,-69.25,44117
44.12,-99.25,81015
44.12,-103.69,81704
44.12,-72.14,87116
44.11,-85.8,49128
44.1,-87.89,91314
44.09,-71.35,58116
44.08,-71.2,58023
44.08,-89.59,91312
44.07,-77.36,68014
44.06,-80.53,68222
44.05,-87.7,91048
44.04,-104.72,92049
44.03,-98.43,81114
44.03,-88.7,91146
44.03,-107.45,92039
44.02,-111.25,33016
44.02,-79.96,68219
44.02,-102.58,81026
44.01,-69.96,44014
44.01,-97.67,81012
44.01,-91.37,91034
44,-76.04,61071
43.99,-71.29,58012
43.98,-78.36,68300
43.98,-121.8,69052
43.98,-110.66,92208
43.97,-74.24,61084
43.97,-107.96,92061
43.95,-79.91,68005
43.94,-97.47,81003
43.92,-103.51,81047
43.91,-114.87,33119
43.91,-89.12,91057
43.9,-86.21,49018
43.9,-122.55,69019
43.89,-92.09,50102
43.89,-102.45,81043
43.89,-72.26,87007
43.88,-106.87,92063
43.87,-79.97,68206
43.87,-88.04,91318
43.85,-104.24,92069
43.83,-81.69,68009
43.83,-123.23,69243
43.83,-98.64,81004
43.82,-111.2,33222
43.82,-103.64,81029
43.82,-90.2,91053
43.81,-112.39,33221
43.81,-91.69,50001
43.81,-93.49,50003
43.81,-81.19,68210
43.81,-103.76,81706
43.78,-91,91050
43.78,-90.35,91054
43.77,-81.53,68010
43.76,-94.28,50004
43.75,-72.72,87006
43.74,-101.95,81032
43.73,-74.47,61083
43.72,-115.95,33018
43.72,-75.16,61077
43.72,-74.79,61087
43.72,-103.5,81705
43.7,-85.43,49131
43.69,-75.01,61073
43.68,-70.36,44002
43.68,-93.01,50055
43.66,-80.73,68008
43.65,-102.51,81009
43.65,-88.33,91062
43.64,-123.58,69050
43.64,-106.19,92064
43.63,-74.39,61081
43.63,-122.3,69219
43.61,-73.09,87010
43.61,-88.48,91059
43.6,-73.73,61092
43.59,-85.12,49038
43.59,-121.83,69120
43.59,-107.43,92011
43.58,-96.18,50006
43.58,-95.77,50057
43.58,-74.85,61182
43.56,-74.39,61085
43.56,-79.74,68006
43.56,-89.52,91317
43.54,-80.51,68208
43.53,-111.7,33022
43.53,-73.79,61093
43.53,-90.86,91051
43.53,-89.22,91056
43.53,-109.63,92053
43.52,-124.19,69117
43.51,-82.67,49070
43.5,-91.29,50053
43.5,-72.13,58015
43.49,-70.51,44003
43.49,-88.9,91061
43.47,-72.58,87005
43.46,-113.56,33020
43.45,-71.88,58011
43.45,-75.9,61075
43.45,-88.73,91060
43.44,-89.86,91055
43.41,-71.2,58010
43.41,-109.44,92009
43.4,-114.25,33219
43.38,-80.22,68308
43.37,-71.6,58009
43.37,-81.15,68209
43.37,-87.87,91063
43.35,-83.42,49063
43.33,-113.87,33220
43.33,-96.88,81001
43.32,-90.74,91052
43.31,-99.87,81007
43.29,-122.34,69051
