,site,lat,long
110660,85108,40.36,-109.33
35978,17351,40.2,-108.75
35431,17301,40.27,-108.55
36032,17352,40.05,-107.87
33964,17031,40.06,-108.41
35006,17209,39.64,-107.61
34132,17039,39.66,-107.12
33337,17003,40.15,-106.87
34834,17202,40.21,-107.03
34177,17040,39.54,-106.22
34870,17203,40.13,-106.49
36075,17353,40.31,-105.97
34059,17035,40.3,-104.69
36624,17412,39.98,-104.5
34272,17042,39.84,-104.18
35541,17306,40.34,-103.79
33441,17006,40.2,-103.44
34295,17043,39.61,-103.12
34109,17037,40.26,-102.71
35720,17313,39.56,-103.02
33716,17014,39.83,-102.63
53360,38319,39.56,-97.81
53472,38420,39.56,-98.15
52450,38033,39.72,-98.1
52196,38028,39.9,-96.87
52299,38030,39.93,-97.01
74560,54004,40.21,-97.55
53297,38318,39.65,-96.52
75493,54103,40.07,-96.4
52239,38029,39.76,-96.02
72405,52070,40.1,-94.14
71504,52032,39.65,-94.66
72835,52136,40.08,-94.85
71569,52034,40.06,-92.49
72247,52066,39.79,-93.12
72350,52068,40.16,-92.51
44794,34020,40.21,-91.18
47626,34307,40.01,-90.93
47311,34135,39.92,-91.31
46851,34072,40.08,-89.82
45314,34038,39.79,-90.41
45264,34036,39.98,-90.34
45489,34044,39.89,-88.1
45113,34030,40.07,-88.55
45581,34047,39.61,-88.38
48640,35014,40.14,-86.69
49691,35306,40.19,-86.45
49527,35115,40.21,-86.05
89408,66067,39.68,-83.8
90215,66126,40.07,-84.13
90513,66168,39.88,-83.91
90637,66251,40.29,-81.87
89224,66049,40.1,-81.89
90570,66181,39.56,-81.58
90323,66150,40.1,-81.41
119351,90052,40.08,-80.68
118957,90041,39.65,-80.77
96990,72047,40.16,-80.34
97047,72048,40.07,-80.32
119131,90044,39.57,-79.84
61728,46053,39.72,-78.92
99188,72151,40.37,-79.57
61607,46051,39.67,-79.16
61800,46055,39.69,-78.41
97751,72061,40.42,-78.2
99809,72192,39.86,-78.17
59763,46006,39.61,-77.86
99358,72166,40.23,-77.66
59889,46008,39.57,-77.54
60269,46016,39.55,-76.81
60324,46017,39.7,-76.76
99985,72195,39.76,-76.46
98827,72097,39.91,-75.81
37254,21002,39.75,-75.58
99601,72181,40.42,-75.29
78063,59107,39.66,-74.91
77931,59028,39.75,-74.58
77488,59003,39.53,-75.1
77532,59005,39.99,-74.22
77673,59013,40.16,-74.06
77622,59011,40.08,-74.28
30499,14164,40.65,-123.03
33118,14431,40.49,-123.07
33235,14435,40.88,-123.6
33402,17004,40.5,-105.03
35501,17304,40.56,-105.42
125186,92027,41.19,-105.29
75112,54032,41.17,-100.05
74639,54008,40.93,-99.5
75541,54119,41.12,-99.49
44841,34022,40.65,-90.98
44945,34024,40.86,-90.5
44741,34019,40.8,-91.05
45026,34026,40.93,-89.79
44896,34023,40.91,-90.03
44975,34025,40.6,-89.66
45077,34029,40.92,-88.95
44539,34013,41.08,-88.83
47719,34309,40.75,-88.87
45183,34032,40.89,-88.67
45151,34031,40.71,-88.56
46696,34069,41.31,-88.59
45219,34034,40.64,-87.72
48423,35010,40.67,-87.36
44697,34017,41.21,-87.58
48576,35013,40.58,-86.18
48524,35012,40.7,-86.81
48225,35004,41.27,-86.62
49739,35308,40.81,-84.95
48698,35020,40.7,-84.85
88823,66025,40.98,-84.19
89000,66039,40.46,-82.62
90061,66112,41.16,-82.63
89112,66042,40.46,-82.76
90164,66116,41.32,-81.05
89155,66046,40.6,-81.16
88658,66015,41.17,-81.0
94915,72003,41.08,-80.33
97293,72053,40.96,-79.7
96929,72046,40.69,-80.3
97173,72050,40.84,-79.55
95206,72009,41.29,-79.09
97238,72052,40.48,-79.48
97801,72062,40.44,-78.33
95389,72013,41.16,-78.06
97863,72063,40.73,-78.21
98211,72072,40.56,-77.39
96023,72025,41.07,-77.29
95823,72021,41.27,-77.24
96146,72029,41.31,-76.66
99411,72173,40.5,-76.93
96561,72036,41.11,-76.47
99686,72187,40.63,-75.99
98452,72083,40.78,-75.96
98558,72085,40.68,-75.99
78117,59114,40.5,-74.93
77576,59010,40.5,-74.93
78163,59116,40.88,-75.05
30864,14174,41.38,-123.48
24856,14001,41.82,-123.0
94207,69226,42.22,-123.06
31679,14198,41.74,-122.63
